5557-2006-202641-SU3,SU3,16
5557-2005-202641-58476,58476,8
5557-2005-202641-52057,52057,8
5557-2005-202641-52057,28358,3
3313-2026-202641-51992,51992,28
5557-2062-202641-51862,51862,9
5557-2062-202641-51862,28335,4
5557-2064-202641-51894,51894,14
5557-2064-202641-51894,28338,3
5556-2006-202641-52077,52077,18
5569-2031-202641-52082,52082,21
5569-2031-202641-52082,28364,2
5559-2166-202641-51945,51945,10
5559-2165-202641-51705,51705,8
5559-2080V-202641-51657,51657,6
5559-2080V-202641-51690,51690,11
5559-2080V-202641-51675,51675,5
3313-2130-202641-57758,57758,20
3313-2130-202641-57759,57759,20
PGME-0044-202641-52303,52303,20
PGME-0044-202641-52307,52307,21
PGME-0035-202641-52309,52309,21
PGME-0034-202641-52312,52312,21
PGME-0035-202641-52313,52313,20
PGME-0034-202641-52316,52316,20
PGME-0045-202641-52359,52359,20
PGME-0043-202641-52357,52357,20
PGME-0045-202641-52362,52362,18
PGME-0043-202641-52360,52360,18
PGME-0045-202641-52319,52319,14
PGME-0042-202641-52318,52318,14
PGME-0045-202641-52322,52322,13
PGME-0042-202641-52321,52321,13
3313-2015-202641-52404,52404,1
